Unnamed: 0,review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes,product_name
135,R3MQAUKO1VEV04,B09H27SXHS,4.0 out of 5 stars Broken day one,shane smith,4,Customer service was great at getting me a replacement pair and they work good,"Reviewed in the United States February 20, 2022",AECWH4TAMO75EHFFRAF25CBQ6EGQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
136,R1HWY4UPMG9ZED,B09H27SXHS,5.0 out of 5 stars I would definitely buy again.,Jason Ferich,5,I bought these to replace my Razor earbuds and was shocked by the quality of sound. I think the HTC earbuds are better than the Razor earbuds I had and the price can't be beat.,"Reviewed in the United States August 31, 2022",AFWSAUCXKFQ7GUCFPZE5MN3IKVKA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
137,R2LU28H6I0VMIZ,B09H27SXHS,4.0 out of 5 stars great price,Eric Mccray,4,better than expected for the price,"Reviewed in the United States March 31, 2022",AEFJN73GKUX5MQ4U5VYQILPK7ZJA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
138,R1K60SQ19NGABS,B09H27SXHS,4.0 out of 5 stars Worth the price.,Gatiko,4,It slips from ear all the time.,"Reviewed in the United States March 2, 2022",AGRBOAS7TGPLACHKCJJHBWCQ374A,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
139,R2LSKR2V36UJGT,B09H27SXHS,"3.0 out of 5 stars Easy to use, but bad sound quality.",BRUCE BISHOP,3,"These are about what you would expect for cheap ear buds. They work ok, but the sound quality is poor and the volume does not go high enough.","Reviewed in the United States January 15, 2022",AEXKMX6SWMT5ILPXDIVKFPKC3HXA,1,1,Color: Black,HTC Wireless Headphones Bluetooth 5.1
140,R2WE9T8K3M64LM,B09H27SXHS,3.0 out of 5 stars No bass,david m morgan,3,"They fit comfortably. They connect quickly. However, the bass is almost non existant. They weren't expensive, but expected just a little better range.","Reviewed in the United States January 31, 2022",AFK6RMYWUOUEQ6ZZQ7RSHOLR4CUA,1,1,Color: Black,HTC Wireless Headphones Bluetooth 5.1
141,R388K3YO38FO9Z,B09H27SXHS,2.0 out of 5 stars Wouldn't buy again,Justin r griswold,2,"The range is only like 15 ft before they start cutting out, the fact they're shaped to fit only one ear is annoying and the the most annoying part is the touch control, a real button would be way more practical, any time you need to adjust them you end up pausing or switching songs and they turn on if they're in your pocket, wouldn't recommend but they do work","Reviewed in the United States April 29, 2022",AELCZ4BROJM5SIVGEPIANASDXCYQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
142,R1PE8G7CSY5O4R,B09H27SXHS,3.0 out of 5 stars Earbuds,KJ,3,These were great at first. After about 3 weeks the right earbud stopped working. I had to return.,"Reviewed in the United States March 7, 2022",AHCDTSHQRYANLPWLLAZMFXI7TM2A,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
143,R86HB5OL4N3QU,B09H27SXHS,"2.0 out of 5 stars A lot of Pros, 1 big Con",Michael B,2,"The media could not be loaded. Forgot to mention one big detail, how they sound. They actually sound pretty good. Especially for the price. But like I said in my video, there are a lot of good things about these earbuds which has unfortunately been overshadowed by the right earbud dying on me after 4 uses. Gonna try to get it replaced, use them for a while, and update this review accordingly.","Reviewed in the United States April 12, 2022",AH5BCABMJUNEDZDZ5DUHBCS2TDVA,1,1,Color: Black,HTC Wireless Headphones Bluetooth 5.1
144,R3H94LY32JO5QP,B09H27SXHS,5.0 out of 5 stars Very unexpected,Craig soto,5,I didn't expect these to be that good but wow did these surprise me! The sound quality is amazing and don't even get me started on how the bass sounds. All together a very unexpected and great product ðŸ‘,"Reviewed in the United States March 30, 2022",AF5QMR76WE2J7MDBIEOOHXMIV7HQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
145,R29QD6UXFBW6N3,B09H27SXHS,5.0 out of 5 stars Great for non-active use.,Ashfyr,5,"Amazing little earbuds, sound is rather good and battery is on par with much more expensive buds. Downside, they are on the smaller side, and when you start sweating, they will fall right out of your ear.","Reviewed in the United States April 18, 2022",AEKL5UELLXQGUIORZZKJPD55W3MQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
